ORD_YMD,CENT_CD,ITEM_CD,ITEM_NM,SUM(A.CONV_QTY)
20250103,20006,123549,해태)오사쯔빠스50g,"11,408"
20250103,20006,123551,엔제이)마키노나쵸칩치즈50g,504
20250103,20006,123555,SAMG)위시캣발바닥모양캔디42g,"1,360"
20250103,20006,123558,농심)츄파춥스오션믹스젤리60g,"2,720"
20250103,20007,123549,해태)오사쯔빠스50g,"12,272"
20250103,20007,123551,엔제이)마키노나쵸칩치즈50g,540
20250103,20007,123555,SAMG)위시캣발바닥모양캔디42g,"1,440"
20250103,20007,123558,농심)츄파춥스오션믹스젤리60g,"2,880"
20250103,20010,123549,해태)오사쯔빠스50g,"15,280"
20250103,20010,123551,엔제이)마키노나쵸칩치즈50g,684
20250103,20010,123555,SAMG)위시캣발바닥모양캔디42g,"1,760"
20250103,20010,123558,농심)츄파춥스오션믹스젤리60g,"3,600"
20250103,20017,123549,해태)오사쯔빠스50g,"7,168"
20250103,20017,123551,엔제이)마키노나쵸칩치즈50g,324
20250103,20017,123555,SAMG)위시캣발바닥모양캔디42g,880
20250103,20017,123558,농심)츄파춥스오션믹스젤리60g,"1,680"
20250103,20033,123549,해태)오사쯔빠스50g,"2,688"
20250103,20033,123551,엔제이)마키노나쵸칩치즈50g,144
20250103,20033,123555,SAMG)위시캣발바닥모양캔디42g,400
20250103,20033,123558,농심)츄파춥스오션믹스젤리60g,720
20250103,20034,123549,해태)오사쯔빠스50g,"15,760"
20250103,20034,123551,엔제이)마키노나쵸칩치즈50g,684
20250103,20034,123555,SAMG)위시캣발바닥모양캔디42g,"1,840"
20250103,20034,123558,농심)츄파춥스오션믹스젤리60g,"3,760"
20250103,20049,123549,해태)오사쯔빠스50g,"8,144"
20250103,20049,123551,엔제이)마키노나쵸칩치즈50g,360
20250103,20049,123555,SAMG)위시캣발바닥모양캔디42g,960
20250103,20049,123558,농심)츄파춥스오션믹스젤리60g,"1,920"
20250103,20050,123549,해태)오사쯔빠스50g,"11,808"
20250103,20050,123551,엔제이)마키노나쵸칩치즈50g,504
20250103,20050,123555,SAMG)위시캣발바닥모양캔디42g,"1,360"
20250103,20050,123558,농심)츄파춥스오션믹스젤리60g,"2,800"
20250103,20065,123549,해태)오사쯔빠스50g,"7,312"
20250103,20065,123551,엔제이)마키노나쵸칩치즈50g,324
20250103,20065,123555,SAMG)위시캣발바닥모양캔디42g,880
20250103,20065,123558,농심)츄파춥스오션믹스젤리60g,"1,760"
20250103,20075,123549,해태)오사쯔빠스50g,"10,240"
20250103,20075,123551,엔제이)마키노나쵸칩치즈50g,468
20250103,20075,123555,SAMG)위시캣발바닥모양캔디42g,"1,200"
20250103,20075,123558,농심)츄파춥스오션믹스젤리60g,"2,400"
20250103,20079,123549,해태)오사쯔빠스50g,"9,440"
20250103,20079,123551,엔제이)마키노나쵸칩치즈50g,432
